dataset,category,n_digit,codebook_size,sid_quantizer,sent_emb_model,sent_emb_pca,target_item,collision_size,sid,others
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B00008GKDN,2,"(224, 115, 162, 32)",B0009JKG9M;B004QM8SLG
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B00009363P,19,"(84, 28, 115, 217)",B000I7NX5E;B0017YLTAI;B001QVWSMA;B00CPCHBCQ;B0017YGE8A;B000PW98WO;B0006968YM;B000U439KO;B0017YEMWA;B0000X6L78;B0002INNUO;B000Q04MRG;B0000X6I5I;B0007IKGB8;B0002INNTK;B003D7LX3U;B0002INNU4;B0017YEMPM;B000VXHCXY
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B00009MKJ3,47,"(113, 193, 135, 232)",B00004YVAJ;B00004YVB4;B0007QCOB0;B0001P151W;B000PX0LKG;B000VY4OJS;B0000224UE;B0007QCOG0;B002EYASY8;B0042Z38Y4;B0001GS19U;B00006IS69;B000MLU8PE;B0007QCO6K;B0002T5YNW;B000H3BLBM;B000FNI1V2;B000VY6E5U;B00004YVBA;B0027MSC2M;B001B16ZSI;B000687B44;B00004YVB1;B000687AWC;B0007QCO92;B000687B4O;B00007E8F3;B000FNI1BM;B001S0FQ1Y;B000VY2Y7M;B0001P15JY;B000FNFXQS;B001DZT0M0;B001F0GNT6;B00004YVBB;B0009KF4H0;B0007QCO9M;B0007QCO6U;B0015ZVPUI;B00005ML8D;B007JTO5ZG;B00006OALR;B000QGF986;B007PEL05S;B0007QCO8I;B000FNIL8K;B001QUXH5S
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000A0AGW,5,"(123, 63, 204, 3)",B0000A0AGO;B0000A0AGY;B000GEWB52;B0000A0AGR;B000UI0VOC
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000A0AI8,2,"(241, 63, 212, 37)",B0000A0AIA;B003UQZSGW
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000A0AIA,2,"(241, 63, 212, 37)",B0000A0AI8;B003UQZSGW
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000ARAOS,4,"(36, 147, 162, 38)",B003N3KYR0;B001MWMDIW;B002TM5LOW;B0002YSK8I
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000AS7W2,1,"(96, 196, 253, 212)",B00005OU5T
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000AT0R9,3,"(159, 122, 193, 244)",B00066Z29W;B0012SFG8U;B0000AMR5W
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000ATT4D,4,"(225, 25, 190, 156)",B0010FC5FW;B0032K3EL2;B0038YYI1C;B003B532L0
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000ATTAE,1,"(201, 148, 200, 237)",B000MES9IE
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000AV1PT,5,"(252, 186, 190, 95)",B00004T69F;B0000AV1T0;B00030A0C0;B0000AV1HO;B001H31BWK
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000AVE2U,1,"(14, 197, 188, 215)",B000CBXQXU
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000AY1W1,1,"(61, 145, 254, 237)",B003KV2A04
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000BY57W,31,"(142, 226, 105, 173)",B000E3E130;B000E39T50;B000E3FKTO;B009YSFT7S;B001ECQPUW;B000E39T3C;B000BQWWIQ;B000E3FKVC;B000E3C3OE;B001ECQPNY;B000P3WS02;B000E39T5K;B00469AX62;B0029KHB10;B000E39T0K;B000WXPTBA;B000E39T4Q;B000E39T1Y;B000E3C3LC;B003JFOZEU;B000E3E13A;B000E3FKTE;B000E3E126;B000EYW8V6;B007N5ZULO;B000E3E11W;B000E3FKU8;B000E3C3JY;B000WTYYFG;B0010XFKF6;B000EZ0ELQ
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000BYRT0,1,"(116, 211, 89, 210)",B003ILP9PY
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000C1CLL,14,"(246, 18, 199, 87)",B0000C1CM9;B0000C1DY4;B007KTPAYK;B001C63IZ0;B0014VVLCA;B0014VX5XI;B0000C1CLP;B0000C1CLM;B001QVUGA6;B0000C1CLO;B004WPWU34;B0002ILPNQ;B0000C1CMA;B0014VQ1N4
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000C1CLO,14,"(246, 18, 199, 87)",B0000C1CLL;B0000C1CM9;B0000C1DY4;B007KTPAYK;B001C63IZ0;B0014VVLCA;B0014VX5XI;B0000C1CLP;B0000C1CLM;B001QVUGA6;B004WPWU34;B0002ILPNQ;B0000C1CMA;B0014VQ1N4
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000C1CLP,14,"(246, 18, 199, 87)",B0000C1CLL;B0000C1CM9;B0000C1DY4;B007KTPAYK;B001C63IZ0;B0014VVLCA;B0014VX5XI;B0000C1CLM;B001QVUGA6;B0000C1CLO;B004WPWU34;B0002ILPNQ;B0000C1CMA;B0014VQ1N4
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000C1CM9,14,"(246, 18, 199, 87)",B0000C1CLL;B0000C1DY4;B007KTPAYK;B001C63IZ0;B0014VVLCA;B0014VX5XI;B0000C1CLP;B0000C1CLM;B001QVUGA6;B0000C1CLO;B004WPWU34;B0002ILPNQ;B0000C1CMA;B0014VQ1N4
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000C1CMA,14,"(246, 18, 199, 87)",B0000C1CLL;B0000C1CM9;B0000C1DY4;B007KTPAYK;B001C63IZ0;B0014VVLCA;B0014VX5XI;B0000C1CLP;B0000C1CLM;B001QVUGA6;B0000C1CLO;B004WPWU34;B0002ILPNQ;B0014VQ1N4
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000C1D27,1,"(246, 208, 199, 87)",B000PWBAA2
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000C50BR,1,"(46, 191, 151, 159)",B000PW8ZVO
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000C50HM,1,"(242, 211, 144, 17)",B0000C50HK
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000C50K3,3,"(59, 145, 199, 22)",B000H6QNGM;B0000C50S8;B004U8S2HQ
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000C50LW,2,"(193, 206, 87, 103)",B000JMF0MC;B0002IOAQU
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000C50QA,1,"(112, 180, 200, 17)",B00162MQEE
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000C50S8,3,"(59, 145, 199, 22)",B0000C50K3;B000H6QNGM;B004U8S2HQ
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000C50SR,1,"(248, 90, 100, 211)",B0000C50VU
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000C50VU,1,"(248, 90, 100, 211)",B0000C50SR
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000C51GH,4,"(234, 191, 155, 253)",B000JIHHL8;B0002IKAW8;B0002IKBDG;B0025VWBCM
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000C51GK,4,"(234, 191, 151, 253)",B0001EJEKM;B000GX80WQ;B000JIJHZC;B000GX7Y50
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000C51OZ,1,"(44, 128, 107, 172)",B000G79AS0
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000C51QA,1,"(162, 214, 155, 246)",B000O7HB5Q
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000C52A5,5,"(242, 136, 221, 139)",B001Q8H6DY;B000U416EK;B001CLBJ74;B007ZYQUUI;B00162KNXA
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000C52WG,2,"(117, 203, 200, 102)",B0000C52W8;B001733BOQ
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000C5398,2,"(224, 200, 155, 164)",B001I14QUU;B0014VROMQ
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000C53GH,1,"(250, 140, 195, 103)",B000NOUFFS
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000C53LD,2,"(180, 126, 49, 159)",B001TEBPZA;B001CWPB3G
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000C6D7N,1,"(93, 148, 141, 222)",B0000C6D8M
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000C6D8M,1,"(93, 148, 141, 222)",B0000C6D7N
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000CA2R6,1,"(112, 148, 11, 222)",B001L671X6
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000CDK2L,1,"(47, 188, 132, 6)",B002IRV232
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000D94WJ,2,"(242, 120, 144, 22)",B0002INOE4;B0013RB5CQ
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000DZFXZ,1,"(191, 178, 210, 244)",B00G6QQXMG
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000E1KQA,13,"(58, 113, 92, 144)",B0011VQJQQ;B000YZ4CPU;B0017AWR6C;B000OF54L6;B0010345W0;B001NQ295Y;B000OF6SFW;B001NQ04CE;B0017AVAME;B001NQ297W;B00ELNGSVM;B0030II3WG;B0017AVAIS
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000V2DNG,1,"(96, 246, 84, 162)",B001P9MXDC
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000WR6W8,2,"(120, 220, 227, 239)",B001UERXOQ;B005NGMJLY
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0000X6I5I,19,"(84, 28, 115, 217)",B000I7NX5E;B0017YLTAI;B001QVWSMA;B00CPCHBCQ;B0017YGE8A;B000PW98WO;B0006968YM;B000U439KO;B00009363P;B0017YEMWA;B0000X6L78;B0002INNUO;B000Q04MRG;B0007IKGB8;B0002INNTK;B003D7LX3U;B0002INNU4;B0017YEMPM;B000VXHCXY
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B00011VJ7Q,7,"(167, 215, 240, 183)",B000ARB1UQ;B001A3Y6PQ;B000G7Y34Q;B000V196NU;B000JKBIQ6;B007WPNNCS;B000ARB1SS
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B00012M5MS,1,"(99, 182, 221, 20)",B0030RSDYU
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B00012PDMW,4,"(63, 34, 137, 116)",B002GF79QA;B000XJ7R54;B00AQ4F19K;B00BL83I22
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B00018ADXA,1,"(115, 240, 153, 241)",B00018ADWQ
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B00018BQ7W,1,"(64, 181, 130, 189)",B001260X94
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0001BW0PQ,3,"(68, 234, 73, 72)",B000EU01VO;B0009PUT2K;B001D1HGNO
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0001EJEKM,4,"(234, 191, 151, 253)",B000GX80WQ;B000JIJHZC;B000GX7Y50;B0000C51GK
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0001NDYOK,20,"(239, 67, 146, 60)",B0030WEBM8;B0030KZHP0;B000AOA434;B00FIKIK7C;B001GSKVO0;B001GSKVSG;B001NGD3NQ;B000AO7LTY;B000AO9TP8;B002FVYTLI;B001UL2DVC;B000FR5XPA;B00288NC5C;B0012VP6FK;B001UL5SKU;B008DT9218;B000FR33ZM;B00DYFS3IY;B001NGD5D4;B000C12ELU
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0001P151W,47,"(113, 193, 135, 232)",B00004YVAJ;B00004YVB4;B0007QCOB0;B000PX0LKG;B000VY4OJS;B0000224UE;B0007QCOG0;B002EYASY8;B0042Z38Y4;B0001GS19U;B00006IS69;B000MLU8PE;B0007QCO6K;B0002T5YNW;B000H3BLBM;B000FNI1V2;B000VY6E5U;B00004YVBA;B0027MSC2M;B001B16ZSI;B000687B44;B00004YVB1;B00009MKJ3;B000687AWC;B0007QCO92;B000687B4O;B00007E8F3;B000FNI1BM;B001S0FQ1Y;B000VY2Y7M;B0001P15JY;B000FNFXQS;B001DZT0M0;B001F0GNT6;B00004YVBB;B0009KF4H0;B0007QCO9M;B0007QCO6U;B0015ZVPUI;B00005ML8D;B007JTO5ZG;B00006OALR;B000QGF986;B007PEL05S;B0007QCO8I;B000FNIL8K;B001QUXH5S
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0001WAOF8,6,"(33, 68, 13, 238)",B000EHWWJQ;B000EHUYQ4;B004NJ2ETY;B000EI0VTI;B000EHWWLE;B0001WASDG
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0001WASDG,6,"(33, 68, 13, 238)",B000EHWWJQ;B000EHUYQ4;B004NJ2ETY;B000EI0VTI;B0001WAOF8;B000EHWWLE
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0001WB4PM,1,"(179, 198, 48, 175)",B001AC804K
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0001WB7GI,1,"(8, 88, 40, 165)",B0002V3IZQ
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0001WBIGM,20,"(176, 238, 79, 165)",B000ET7E0Q;B0012QY5DO;B001BMTZSY;B003C1HEBC;B001CXPKEK;B003C1HEBW;B000X4LR78;B003SARH96;B000R30XAC;B0051BY8ZG;B001C3WXJ0;B003FN85BA;B001AC2M62;B001C443VA;B000MD7MAQ;B001O4BSQ6;B002VXO9BK;B000MD69WS;B00190XOW6;B0018PG10E
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0001WC87A,1,"(192, 84, 205, 174)",B000IXG44U
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0001WC898,1,"(192, 18, 13, 165)",B0015RPTRG
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B00022KJ16,1,"(166, 57, 249, 173)",B000EZWPM2
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B000276CZS,2,"(61, 151, 139, 49)",B000276CYE;B0012RJTUW
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B000276D0W,1,"(12, 179, 168, 249)",B005T2W750
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B00029A7C0,13,"(37, 60, 57, 228)",B0016BNDXI;B0055PFE2Y;B002YQUP7Q;B001EJMS6K;B001ND04U4;B005DA64QG;B005UD5X8Q;B0027ICCTA;B002LN9XJI;B001CZ4ZN0;B005FOPOLG;B000P0BARW;B001A4M8BE
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B00029EWYY,1,"(168, 94, 46, 100)",B007HFIH8I
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0002CTZ70,1,"(27, 213, 156, 45)",B0001IPKRE
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0002FHIMQ,1,"(163, 251, 168, 182)",B00817DZ0G
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0002IKAMI,12,"(118, 108, 188, 235)",B000MITQ1Y;B002IEM9NM;B000VUFQM6;B0014VRO4E;B002E6R6B4;B000U430Y4;B002E6R66O;B0002IKAK0;B002E6V282;B0014VVI1E;B002IEK5EC;B000MIWE68
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0002IKANW,1,"(108, 108, 249, 235)",B002L9GB56
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0002IKAW8,4,"(234, 191, 155, 253)",B000JIHHL8;B0002IKBDG;B0000C51GH;B0025VWBCM
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0002IKBDG,4,"(234, 191, 155, 253)",B000JIHHL8;B0002IKAW8;B0000C51GH;B0025VWBCM
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0002IKGWM,2,"(59, 136, 41, 22)",B000MBND7E;B000H6QPJW
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B0002IL89M,1,"(118, 209, 70, 130)",B000FF05M8
